Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-17 09:05:00+01:00,70.5,70.5,70.5,70.5,1,0,0
2019-12-18 09:05:00+01:00,70.5,70.5,70.5,70.5,1,0,0
2019-12-19 09:05:00+01:00,70.66,70.66,70.66,70.66,1,0,0
2019-12-19 12:04:00+01:00,70.64,70.64,70.64,70.64,390,0,0
2019-12-19 12:13:00+01:00,70.6,70.6,70.6,70.6,503,0,0
2019-12-19 12:29:00+01:00,70.66,70.66,70.66,70.66,502,0,0
2019-12-20 09:05:00+01:00,70.95,70.95,70.95,70.95,1,0,0
2019-12-20 10:48:00+01:00,70.94,70.95,70.94,70.95,4884,0,0
2019-12-20 17:12:00+01:00,71.52,71.52,71.52,71.52,8,0,0
2019-12-23 09:05:00+01:00,71.55,71.55,71.55,71.55,1,0,0
2019-12-24 09:05:00+01:00,71.56,71.56,71.56,71.56,1,0,0
2019-12-24 14:00:00+01:00,71.64,71.64,71.64,71.64,1,0,0
2019-12-27 09:05:00+01:00,72.03,72.03,72.03,72.03,0,0,0
2019-12-27 09:06:00+01:00,71.8,71.8,71.8,71.8,2,0,0
2019-12-30 09:05:00+01:00,71.23,71.23,71.23,71.23,1,0,0
2019-12-30 09:32:00+01:00,71.27,71.27,71.27,71.27,47,0,0
2019-12-30 15:38:00+01:00,71.0,71.0,71.0,71.0,422,0,0
2019-12-30 16:35:00+01:00,70.68,70.68,70.68,70.68,30,0,0
2019-12-30 16:42:00+01:00,70.82,70.82,70.82,70.82,8,0,0
2019-12-31 09:05:00+01:00,70.94,70.94,70.94,70.94,0,0,0
2019-12-31 14:00:00+01:00,70.59,70.59,70.59,70.59,0,0,0
2020-01-02 09:05:00+01:00,71.19,71.21,71.19,71.21,2276,0,0
2020-01-02 11:13:00+01:00,71.43,71.43,71.43,71.43,10,0,0
2020-01-02 12:47:00+01:00,71.47,71.47,71.47,71.47,70,0,0
2020-01-02 13:02:00+01:00,71.49,71.49,71.49,71.49,24,0,0
2020-01-02 13:36:00+01:00,71.49,71.49,71.49,71.49,92,0,0
2020-01-02 16:14:00+01:00,71.41,71.41,71.4,71.4,2562,0,0
2020-01-02 16:31:00+01:00,71.34,71.34,71.34,71.34,281,0,0
2020-01-02 16:33:00+01:00,71.33,71.33,71.33,71.33,2281,0,0
2020-01-02 17:13:00+01:00,71.34,71.34,71.34,71.34,701,0,0
2020-01-03 09:05:00+01:00,71.22,71.22,71.22,71.22,1,0,0
2020-01-03 11:42:00+01:00,71.2,71.2,71.2,71.2,0,0,0
2020-01-03 11:58:00+01:00,70.99,70.99,70.99,70.99,20,0,0
2020-01-03 14:54:00+01:00,71.37,71.37,71.37,71.37,701,0,0
2020-01-03 15:48:00+01:00,71.47,71.47,71.47,71.47,2281,0,0
2020-01-06 09:05:00+01:00,71.1,71.1,71.1,71.1,1,0,0
2020-01-06 10:01:00+01:00,70.64,70.64,70.64,70.64,0,0,0
2020-01-06 14:32:00+01:00,70.76,70.76,70.76,70.76,15,0,0
2020-01-06 14:56:00+01:00,70.77,70.77,70.77,70.77,5,0,0
2020-01-06 16:57:00+01:00,71.15,71.15,71.15,71.15,30,0,0
2020-01-07 09:05:00+01:00,71.53,71.53,71.53,71.53,1,0,0
2020-01-07 13:57:00+01:00,71.58,71.58,71.58,71.58,0,0,0
2020-01-07 14:19:00+01:00,71.55,71.55,71.55,71.55,5,0,0
2020-01-08 09:05:00+01:00,71.47,71.47,71.47,71.47,1,0,0
2020-01-08 11:16:00+01:00,71.64,71.64,71.64,71.64,0,0,0
2020-01-08 11:40:00+01:00,71.67,71.67,71.67,71.67,40,0,0
2020-01-08 16:54:00+01:00,71.85,71.85,71.85,71.85,20,0,0
2020-01-09 09:05:00+01:00,72.5,72.5,72.5,72.5,1,0,0
2020-01-09 14:26:00+01:00,72.46,72.46,72.46,72.46,0,0,0
2020-01-09 15:14:00+01:00,72.5,72.5,72.5,72.5,10,0,0
2020-01-10 09:05:00+01:00,73.09,73.09,72.84,72.84,0,0,0
2020-01-10 11:28:00+01:00,72.9,72.9,72.9,72.9,40,0,0
2020-01-10 13:53:00+01:00,72.9,72.9,72.9,72.9,20,0,0
2020-01-13 09:05:00+01:00,72.52,72.52,72.52,72.52,0,0,0
2020-01-13 09:12:00+01:00,72.55,72.55,72.55,72.55,14,0,0
