Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-18 09:09:00+01:00,207.06,207.06,207.06,207.06,0,0,0
2019-12-18 09:19:00+01:00,207.36,207.36,207.36,207.36,25,0,0
2019-12-18 09:56:00+01:00,207.25,207.26,207.24,207.24,6999,0,0
2019-12-18 10:02:00+01:00,207.24,207.25,207.24,207.25,2716,0,0
2019-12-18 10:40:00+01:00,207.14,207.14,207.14,207.14,2,0,0
2019-12-18 10:46:00+01:00,207.41,207.41,207.41,207.41,15,0,0
2019-12-18 10:51:00+01:00,207.25,207.25,207.25,207.25,160,0,0
2019-12-18 10:55:00+01:00,207.28,207.28,207.28,207.28,50,0,0
2019-12-18 11:58:00+01:00,207.41,207.41,207.41,207.41,120,0,0
2019-12-18 12:00:00+01:00,207.39,207.39,207.39,207.39,10,0,0
2019-12-18 12:16:00+01:00,207.31,207.31,207.31,207.31,5,0,0
2019-12-18 12:22:00+01:00,207.13,207.29,207.13,207.29,8,0,0
2019-12-18 13:34:00+01:00,207.43,207.43,207.43,207.43,100,0,0
2019-12-18 13:57:00+01:00,207.24,207.24,207.24,207.24,42,0,0
2019-12-18 13:58:00+01:00,207.45,207.45,207.45,207.45,14,0,0
2019-12-18 14:16:00+01:00,207.57,207.57,207.57,207.57,47,0,0
2019-12-18 14:21:00+01:00,207.41,207.41,207.41,207.41,4,0,0
2019-12-18 15:08:00+01:00,207.3,207.3,207.3,207.3,25,0,0
2019-12-18 15:24:00+01:00,207.41,207.41,207.41,207.41,25,0,0
2019-12-18 16:28:00+01:00,207.23,207.23,207.21,207.21,101,0,0
2019-12-18 16:44:00+01:00,207.25,207.25,207.25,207.25,29,0,0
2019-12-19 09:15:00+01:00,207.4,207.4,207.4,207.4,0,0,0
2019-12-19 09:30:00+01:00,207.29,207.29,207.29,207.29,14,0,0
2019-12-19 10:15:00+01:00,207.07,207.07,207.07,207.07,5,0,0
2019-12-19 10:45:00+01:00,207.34,207.34,207.34,207.34,12,0,0
2019-12-19 10:58:00+01:00,207.26,207.26,207.26,207.26,7,0,0
2019-12-19 11:17:00+01:00,207.07,207.07,207.07,207.07,4,0,0
2019-12-19 11:28:00+01:00,207.05,207.05,207.05,207.05,2,0,0
2019-12-19 11:38:00+01:00,207.15,207.15,207.15,207.15,30,0,0
2019-12-19 11:50:00+01:00,207.21,207.21,207.21,207.21,45,0,0
2019-12-19 12:21:00+01:00,207.16,207.16,207.16,207.16,50,0,0
2019-12-19 12:25:00+01:00,207.11,207.11,207.11,207.11,320,0,0
2019-12-19 13:59:00+01:00,207.34,207.34,207.34,207.34,33,0,0
2019-12-19 14:06:00+01:00,207.17,207.17,207.17,207.17,150,0,0
2019-12-19 15:22:00+01:00,207.29,207.29,207.29,207.29,0,0,0
2019-12-19 15:56:00+01:00,207.34,207.34,207.34,207.34,851,0,0
2019-12-19 16:09:00+01:00,207.32,207.32,207.32,207.32,34,0,0
2019-12-19 16:13:00+01:00,207.28,207.28,207.28,207.28,17,0,0
2019-12-19 16:41:00+01:00,207.46,207.46,207.46,207.46,48,0,0
2019-12-19 16:57:00+01:00,207.49,207.49,207.49,207.49,15,0,0
2019-12-19 16:59:00+01:00,207.64,207.64,207.64,207.64,15,0,0
2019-12-19 17:05:00+01:00,207.46,207.67,207.46,207.46,221,0,0
2019-12-20 09:04:00+01:00,207.96,207.96,207.96,207.96,0,0,0
2019-12-20 09:14:00+01:00,207.8,207.8,207.8,207.8,50,0,0
2019-12-20 10:03:00+01:00,208.0,208.0,208.0,208.0,70,0,0
2019-12-20 10:27:00+01:00,208.1,208.12,208.1,208.12,110,0,0
2019-12-20 10:36:00+01:00,208.0,208.0,208.0,208.0,30,0,0
2019-12-20 10:41:00+01:00,207.97,207.97,207.97,207.97,213,0,0
2019-12-20 10:52:00+01:00,207.95,207.95,207.95,207.95,75,0,0
2019-12-20 11:00:00+01:00,207.98,207.98,207.98,207.98,42,0,0
2019-12-20 11:09:00+01:00,207.99,207.99,207.99,207.99,65,0,0
2019-12-20 11:15:00+01:00,208.0,208.07,208.0,208.07,74,0,0
2019-12-20 11:23:00+01:00,208.04,208.04,208.04,208.04,63,0,0
2019-12-20 11:28:00+01:00,208.09,208.09,208.09,208.09,44,0,0
2019-12-20 11:38:00+01:00,208.07,208.07,208.07,208.07,74,0,0
2019-12-20 11:40:00+01:00,207.97,208.09,207.9,208.09,1192,0,0
2019-12-20 11:42:00+01:00,208.08,208.08,208.08,208.08,23,0,0
2019-12-20 11:46:00+01:00,208.1,208.1,208.1,208.1,42,0,0
2019-12-20 11:47:00+01:00,208.13,208.13,208.13,208.13,93,0,0
2019-12-20 11:49:00+01:00,208.14,208.14,208.14,208.14,24,0,0
2019-12-20 11:51:00+01:00,208.37,208.37,208.37,208.37,98,0,0
2019-12-20 11:52:00+01:00,208.38,208.38,208.38,208.38,113,0,0
2019-12-20 11:55:00+01:00,208.38,208.38,208.38,208.38,99,0,0
2019-12-20 11:58:00+01:00,208.38,208.38,208.38,208.38,189,0,0
2019-12-20 12:01:00+01:00,208.36,208.36,208.36,208.36,89,0,0
2019-12-20 12:02:00+01:00,208.35,208.35,208.35,208.35,21,0,0
2019-12-20 12:04:00+01:00,208.39,208.39,208.39,208.39,21,0,0
2019-12-20 12:10:00+01:00,208.39,208.39,208.39,208.39,43,0,0
2019-12-20 12:11:00+01:00,208.43,208.43,208.43,208.43,400,0,0
2019-12-20 12:12:00+01:00,208.45,208.45,208.45,208.45,22,0,0
2019-12-20 12:13:00+01:00,208.5,208.5,208.5,208.5,6,0,0
2019-12-20 12:15:00+01:00,208.62,208.62,208.62,208.62,22,0,0
2019-12-20 12:18:00+01:00,208.65,208.65,208.65,208.65,21,0,0
2019-12-20 12:20:00+01:00,208.68,208.68,208.68,208.68,21,0,0
2019-12-20 12:25:00+01:00,208.67,208.67,208.67,208.67,22,0,0
2019-12-20 12:30:00+01:00,208.62,208.62,208.62,208.62,28,0,0
2019-12-20 12:34:00+01:00,208.61,208.61,208.61,208.61,40,0,0
2019-12-20 12:43:00+01:00,208.51,208.51,208.51,208.51,2,0,0
2019-12-20 12:46:00+01:00,208.64,208.64,208.64,208.64,73,0,0
2019-12-20 12:47:00+01:00,208.51,208.51,208.51,208.51,64,0,0
2019-12-20 12:59:00+01:00,208.48,208.48,208.48,208.48,14,0,0
2019-12-20 13:18:00+01:00,208.4,208.4,208.4,208.4,100,0,0
2019-12-20 13:26:00+01:00,208.31,208.31,208.31,208.31,10,0,0
2019-12-20 14:00:00+01:00,208.51,208.51,208.51,208.51,21,0,0
2019-12-20 14:39:00+01:00,208.89,208.89,208.89,208.89,3925,0,0
2019-12-20 14:53:00+01:00,208.95,208.95,208.95,208.95,480,0,0
2019-12-20 15:04:00+01:00,209.02,209.02,209.02,209.02,200,0,0
2019-12-20 15:16:00+01:00,208.96,208.96,208.96,208.96,3,0,0
2019-12-20 15:37:00+01:00,209.42,209.42,209.42,209.42,7,0,0
2019-12-20 15:44:00+01:00,209.18,209.18,209.18,209.18,31,0,0
2019-12-20 15:49:00+01:00,209.13,209.13,209.13,209.13,61,0,0
2019-12-20 16:00:00+01:00,209.45,209.45,209.45,209.45,0,0,0
2019-12-20 16:18:00+01:00,209.31,209.31,209.31,209.31,8584,0,0
2019-12-20 16:49:00+01:00,209.51,209.51,209.51,209.51,35,0,0
2019-12-20 16:51:00+01:00,209.35,209.35,209.35,209.35,56,0,0
2019-12-20 16:56:00+01:00,209.32,209.64,209.32,209.32,275,0,0
2019-12-23 09:13:00+01:00,209.37,209.37,209.37,209.37,0,0,0
2019-12-23 09:20:00+01:00,209.51,209.51,209.51,209.51,28,0,0
2019-12-23 09:30:00+01:00,209.39,209.39,209.39,209.39,151,0,0
2019-12-23 09:42:00+01:00,209.32,209.32,209.32,209.32,50,0,0
2019-12-23 09:48:00+01:00,209.57,209.57,209.57,209.57,24,0,0
2019-12-23 09:56:00+01:00,209.48,209.48,209.48,209.48,125,0,0
2019-12-23 10:05:00+01:00,209.55,209.55,209.55,209.55,7,0,0
2019-12-23 10:06:00+01:00,209.41,209.41,209.41,209.41,12,0,0
2019-12-23 10:16:00+01:00,209.37,209.37,209.37,209.37,4,0,0
2019-12-23 10:30:00+01:00,209.51,209.51,209.51,209.51,250,0,0
2019-12-23 10:38:00+01:00,209.68,209.68,209.68,209.68,19,0,0
2019-12-23 10:44:00+01:00,209.48,209.48,209.48,209.48,2,0,0
2019-12-23 10:59:00+01:00,209.62,209.62,209.62,209.62,24,0,0
2019-12-23 11:17:00+01:00,209.63,209.63,209.63,209.63,24,0,0
2019-12-23 11:20:00+01:00,209.6,209.6,209.6,209.6,500,0,0
2019-12-23 11:27:00+01:00,209.6,209.6,209.6,209.6,500,0,0
2019-12-23 12:22:00+01:00,209.71,209.71,209.71,209.71,2,0,0
2019-12-23 12:42:00+01:00,209.7,209.7,209.7,209.7,25,0,0
2019-12-23 12:45:00+01:00,209.9,209.9,209.9,209.9,1007,0,0
2019-12-23 13:35:00+01:00,209.8,209.8,209.8,209.8,10,0,0
2019-12-23 14:03:00+01:00,209.79,209.79,209.79,209.79,15,0,0
2019-12-23 14:23:00+01:00,209.86,209.86,209.86,209.86,11,0,0
2019-12-23 14:26:00+01:00,209.91,209.91,209.91,209.91,71,0,0
2019-12-23 14:42:00+01:00,210.0,210.0,210.0,210.0,15,0,0
2019-12-23 14:53:00+01:00,209.77,209.77,209.77,209.77,9,0,0
2019-12-23 14:56:00+01:00,209.7,209.7,209.7,209.7,75,0,0
2019-12-23 14:57:00+01:00,209.88,209.88,209.88,209.88,1,0,0
2019-12-23 15:07:00+01:00,209.9,209.9,209.9,209.9,5,0,0
2019-12-23 15:35:00+01:00,209.79,209.79,209.79,209.79,1,0,0
2019-12-23 15:50:00+01:00,209.5,209.5,209.5,209.5,10,0,0
2019-12-23 15:53:00+01:00,209.69,209.69,209.69,209.69,26,0,0
2019-12-23 16:12:00+01:00,209.58,209.58,209.58,209.58,20,0,0
2019-12-23 16:22:00+01:00,209.66,209.66,209.66,209.66,45,0,0
2019-12-23 16:37:00+01:00,209.4,209.4,209.4,209.4,30,0,0
