Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-17 11:56:00-05:00,11.77,11.77,11.77,11.77,0,0,0
2019-12-17 12:08:00-05:00,11.77,11.78,11.77,11.78,1100,0,0
2019-12-17 12:30:00-05:00,11.75,11.75,11.75,11.75,100,0,0
2019-12-17 12:36:00-05:00,11.76,11.76,11.76,11.76,1500,0,0
2019-12-17 12:55:00-05:00,11.77,11.77,11.77,11.77,100,0,0
2019-12-17 13:07:00-05:00,11.77,11.77,11.77,11.77,100,0,0
2019-12-17 13:10:00-05:00,11.78,11.78,11.78,11.78,1000,0,0
2019-12-17 13:52:00-05:00,11.79,11.79,11.79,11.79,1150,0,0
2019-12-17 14:30:00-05:00,11.81,11.81,11.81,11.81,100,0,0
2019-12-17 14:35:00-05:00,11.82,11.82,11.82,11.82,500,0,0
2019-12-17 15:05:00-05:00,11.8,11.8,11.8,11.8,100,0,0
2019-12-17 15:14:00-05:00,11.8,11.8,11.8,11.8,300,0,0
2019-12-18 09:30:00-05:00,11.82,11.82,11.8,11.8,0,0,0
2019-12-18 10:07:00-05:00,11.71,11.71,11.71,11.71,100,0,0
2019-12-18 11:05:00-05:00,11.72,11.72,11.72,11.72,500,0,0
2019-12-18 11:29:00-05:00,11.74,11.74,11.74,11.74,125,0,0
2019-12-18 14:57:00-05:00,11.71,11.71,11.71,11.71,0,0,0
2019-12-18 14:58:00-05:00,11.71,11.71,11.71,11.71,1740,0,0
2019-12-18 15:40:00-05:00,11.7,11.7,11.7,11.7,100,0,0
2019-12-18 15:55:00-05:00,11.69,11.69,11.69,11.69,31900,0,0
2019-12-18 15:56:00-05:00,11.69,11.69,11.69,11.69,18800,0,0
2019-12-18 15:57:00-05:00,11.69,11.69,11.69,11.69,2100,0,0
2019-12-19 09:30:00-05:00,11.57,11.67,11.57,11.67,0,0,0
2019-12-19 09:34:00-05:00,11.7,11.7,11.7,11.7,400,0,0
2019-12-19 09:35:00-05:00,11.69,11.69,11.69,11.69,300,0,0
2019-12-19 10:11:00-05:00,11.71,11.71,11.71,11.71,300,0,0
2019-12-19 15:06:00-05:00,11.74,11.74,11.74,11.74,210,0,0
2019-12-19 15:46:00-05:00,11.73,11.73,11.73,11.73,700,0,0
2019-12-20 09:30:00-05:00,11.79,11.79,11.79,11.79,0,0,0
2019-12-20 11:54:00-05:00,11.76,11.76,11.76,11.76,200,0,0
2019-12-20 12:30:00-05:00,11.71,11.71,11.71,11.71,100,0,0
2019-12-20 12:33:00-05:00,11.71,11.71,11.71,11.71,100,0,0
2019-12-20 12:37:00-05:00,11.71,11.71,11.71,11.71,100,0,0
2019-12-20 12:40:00-05:00,11.71,11.71,11.71,11.71,700,0,0
2019-12-20 15:02:00-05:00,11.64,11.64,11.64,11.64,300,0,0
2019-12-20 15:35:00-05:00,11.61,11.61,11.61,11.61,500,0,0
2019-12-20 15:58:00-05:00,11.62,11.62,11.62,11.62,100,0,0
2019-12-20 15:59:00-05:00,11.62,11.62,11.62,11.62,100,0,0
2019-12-23 09:30:00-05:00,11.53,11.62,11.53,11.61,0,0,0
2019-12-23 10:07:00-05:00,11.65,11.65,11.65,11.65,3000,0,0
2019-12-23 10:08:00-05:00,11.66,11.66,11.66,11.66,100,0,0
2019-12-23 10:09:00-05:00,11.68,11.68,11.68,11.68,100,0,0
2019-12-23 10:44:00-05:00,11.7,11.7,11.7,11.7,100,0,0
2019-12-23 11:26:00-05:00,11.7,11.71,11.7,11.71,32100,0,0
2019-12-23 11:34:00-05:00,11.71,11.71,11.71,11.71,100,0,0
2019-12-23 11:35:00-05:00,11.71,11.71,11.71,11.71,29100,0,0
2019-12-23 12:04:00-05:00,11.69,11.69,11.69,11.69,100,0,0
2019-12-23 12:13:00-05:00,11.67,11.67,11.66,11.66,37000,0,0
2019-12-23 13:27:00-05:00,11.68,11.68,11.68,11.68,175,0,0
2019-12-23 13:43:00-05:00,11.67,11.67,11.67,11.67,100,0,0
2019-12-23 13:49:00-05:00,11.67,11.67,11.67,11.67,100,0,0
2019-12-23 13:52:00-05:00,11.69,11.69,11.69,11.69,300,0,0
2019-12-23 14:07:00-05:00,11.67,11.67,11.67,11.67,800,0,0
2019-12-23 14:17:00-05:00,11.66,11.66,11.66,11.66,500,0,0
2019-12-23 14:20:00-05:00,11.67,11.68,11.67,11.68,1200,0,0
2019-12-23 14:26:00-05:00,11.66,11.66,11.66,11.66,100,0,0
2019-12-23 15:32:00-05:00,11.68,11.68,11.68,11.68,600,0,0
2019-12-24 10:38:00-05:00,11.74,11.74,11.74,11.74,0,0,0
2019-12-24 10:52:00-05:00,11.75,11.75,11.75,11.75,100,0,0
