Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-18 08:08:00+01:00,10.27,10.27,10.27,10.27,0,0,0
2019-12-18 08:14:00+01:00,10.27,10.27,10.27,10.27,0,0,0
2019-12-18 08:35:00+01:00,10.28,10.28,10.28,10.28,0,0,0
2019-12-18 09:07:00+01:00,10.29,10.29,10.29,10.29,0,0,0
2019-12-18 10:36:00+01:00,10.37,10.37,10.37,10.37,0,0,0
2019-12-18 12:12:00+01:00,10.4,10.4,10.4,10.4,0,0,0
2019-12-19 08:08:00+01:00,10.42,10.42,10.42,10.42,0,0,0
2019-12-19 08:13:00+01:00,10.42,10.42,10.42,10.42,0,0,0
2019-12-19 08:39:00+01:00,10.42,10.42,10.42,10.42,0,0,0
2019-12-19 09:07:00+01:00,10.37,10.37,10.37,10.37,0,0,0
2019-12-19 10:37:00+01:00,10.38,10.38,10.38,10.38,0,0,0
2019-12-19 12:12:00+01:00,10.39,10.39,10.39,10.39,0,0,0
2019-12-20 08:13:00+01:00,10.41,10.41,10.41,10.41,0,0,0
2019-12-20 10:37:00+01:00,10.46,10.46,10.46,10.46,0,0,0
2019-12-20 12:12:00+01:00,10.47,10.47,10.47,10.47,0,0,0
2019-12-23 08:05:00+01:00,10.53,10.53,10.53,10.53,0,0,0
2019-12-23 08:09:00+01:00,10.53,10.53,10.53,10.53,0,0,0
2019-12-23 08:36:00+01:00,10.54,10.54,10.54,10.54,0,0,0
2019-12-23 09:07:00+01:00,10.51,10.51,10.51,10.51,0,0,0
2019-12-23 12:13:00+01:00,10.54,10.54,10.54,10.54,0,0,0
