Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-18 09:47:00+00:00,11.58,11.62,11.58,11.62,0,0,0
2019-12-18 15:02:00+00:00,11.57,11.57,11.57,11.57,1050,0,0
2019-12-19 09:20:00+00:00,11.61,11.61,11.61,11.61,6317,0,0
2019-12-19 11:44:00+00:00,11.6,11.6,11.6,11.6,272,0,0
2019-12-19 12:46:00+00:00,11.61,11.61,11.61,11.61,1500,0,0
2019-12-19 15:58:00+00:00,11.59,11.59,11.59,11.59,2114,0,0
2019-12-20 09:48:00+00:00,11.66,11.67,11.62,11.67,0,0,0
2019-12-23 09:11:00+00:00,11.69,11.73,11.69,11.69,0,0,0
2019-12-24 08:13:00+00:00,11.72,11.72,11.72,11.72,200,0,0
2019-12-24 08:14:00+00:00,11.67,11.67,11.66,11.67,3500,0,0
