Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-18 09:04:00+01:00,254.05,254.05,254.05,254.05,0,0,0
2019-12-18 10:33:00+01:00,254.0,254.0,254.0,254.0,4,0,0
2019-12-18 11:01:00+01:00,254.35,254.35,254.35,254.35,3,0,0
2019-12-18 13:12:00+01:00,254.1,254.1,254.1,254.1,0,0,0
2019-12-18 16:36:00+01:00,253.45,253.45,253.45,253.45,17,0,0
2019-12-18 16:38:00+01:00,253.85,253.85,253.85,253.85,30,0,0
2019-12-19 09:04:00+01:00,253.6,253.6,253.6,253.6,1,0,0
2019-12-19 11:22:00+01:00,253.1,253.1,253.1,253.1,7,0,0
2019-12-19 13:12:00+01:00,252.9,252.9,252.9,252.9,0,0,0
2019-12-19 16:31:00+01:00,253.08,253.08,253.08,253.08,21,0,0
2019-12-19 16:36:00+01:00,253.09,253.09,253.09,253.09,2,0,0
2019-12-19 16:37:00+01:00,253.45,253.45,253.45,253.45,31,0,0
2019-12-19 17:13:00+01:00,253.41,253.41,253.41,253.41,27,0,0
2019-12-20 09:04:00+01:00,253.15,253.15,253.15,253.15,0,0,0
2019-12-20 10:42:00+01:00,252.8,252.8,252.8,252.8,15,0,0
2019-12-20 11:11:00+01:00,252.95,252.95,252.95,252.95,21,0,0
2019-12-20 12:13:00+01:00,253.4,253.4,253.4,253.4,2,0,0
2019-12-20 12:45:00+01:00,253.25,253.25,252.85,252.85,1400,0,0
2019-12-20 13:12:00+01:00,253.33,253.33,253.33,253.33,0,0,0
2019-12-20 13:39:00+01:00,253.5,253.5,253.5,253.5,1485,0,0
2019-12-20 13:57:00+01:00,253.5,253.5,253.5,253.5,40,0,0
2019-12-20 15:47:00+01:00,253.5,253.5,253.5,253.5,175,0,0
2019-12-20 16:25:00+01:00,254.05,254.05,254.05,254.05,229,0,0
2019-12-20 16:32:00+01:00,254.0,254.0,254.0,254.0,21,0,0
2019-12-20 16:33:00+01:00,253.6,253.6,253.6,253.6,3,0,0
2019-12-23 09:04:00+01:00,254.4,254.4,254.4,254.4,0,0,0
2019-12-23 13:12:00+01:00,253.88,253.88,253.88,253.88,0,0,0
2019-12-23 16:30:00+01:00,253.9,253.9,253.9,253.9,13,0,0
2019-12-23 16:32:00+01:00,253.9,253.9,253.9,253.9,49,0,0
2019-12-23 16:33:00+01:00,253.5,253.5,253.5,253.5,4,0,0
