Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-18 09:04:00+01:00,23.15,23.15,23.15,23.15,0,0,0
2019-12-18 13:12:00+01:00,23.25,23.25,23.25,23.25,0,0,0
2019-12-19 09:04:00+01:00,23.2,23.2,23.2,23.2,0,0,0
2019-12-19 13:12:00+01:00,23.12,23.12,23.12,23.12,0,0,0
2019-12-19 17:11:00+01:00,23.1,23.1,23.1,23.1,744,0,0
2019-12-20 09:04:00+01:00,23.18,23.18,23.18,23.18,64,0,0
2019-12-20 10:03:00+01:00,23.09,23.09,23.09,23.09,22,0,0
2019-12-20 10:44:00+01:00,23.08,23.08,23.08,23.08,30,0,0
2019-12-20 13:12:00+01:00,23.14,23.14,23.14,23.14,0,0,0
2019-12-20 16:30:00+01:00,23.2,23.2,23.2,23.2,179,0,0
2019-12-23 09:04:00+01:00,23.21,23.21,23.21,23.21,0,0,0
2019-12-23 10:40:00+01:00,23.2,23.2,23.2,23.2,55,0,0
2019-12-23 13:04:00+01:00,23.22,23.22,23.22,23.22,9400,0,0
2019-12-23 13:12:00+01:00,23.19,23.19,23.19,23.19,0,0,0
2019-12-23 13:17:00+01:00,23.19,23.19,23.19,23.19,9510,0,0
2019-12-23 13:24:00+01:00,23.18,23.18,23.18,23.18,190,0,0
