Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-18 09:04:00+01:00,164.29,164.29,164.29,164.29,0,0,0
2019-12-18 10:08:00+01:00,164.05,164.05,164.05,164.05,40,0,0
2019-12-18 12:08:00+01:00,164.07,164.07,164.07,164.07,40,0,0
2019-12-18 13:12:00+01:00,164.28,164.28,164.28,164.28,0,0,0
2019-12-19 09:04:00+01:00,163.78,163.78,163.78,163.78,0,0,0
2019-12-19 10:05:00+01:00,164.01,164.01,164.01,164.01,22,0,0
2019-12-19 13:12:00+01:00,163.63,163.63,163.63,163.63,0,0,0
2019-12-19 14:59:00+01:00,163.35,163.35,163.35,163.35,122,0,0
2019-12-19 17:21:00+01:00,163.5,163.5,163.5,163.5,12,0,0
2019-12-20 09:04:00+01:00,163.76,163.76,163.76,163.76,0,0,0
2019-12-20 11:00:00+01:00,163.4,163.4,163.4,163.4,13,0,0
2019-12-20 13:12:00+01:00,163.74,163.74,163.74,163.74,0,0,0
2019-12-20 13:35:00+01:00,164.04,164.04,164.04,164.04,43,0,0
2019-12-23 09:04:00+01:00,164.08,164.08,164.08,164.08,0,0,0
2019-12-23 12:25:00+01:00,164.26,164.27,164.26,164.27,940,0,0
2019-12-23 13:12:00+01:00,164.2,164.2,164.2,164.2,0,0,0
2019-12-23 15:29:00+01:00,164.15,164.15,164.15,164.15,2540,0,0
2019-12-23 16:38:00+01:00,163.7,163.7,163.7,163.7,46,0,0
