Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-16 17:18:00+01:00,23.22,23.22,23.2,23.2,0,0,0
2019-12-17 09:24:00+01:00,23.18,23.18,23.18,23.18,0,0,0
2019-12-17 09:51:00+01:00,23.17,23.17,23.17,23.17,119,0,0
2019-12-17 10:57:00+01:00,23.15,23.15,23.15,23.15,2964,0,0
2019-12-17 11:02:00+01:00,23.17,23.17,23.17,23.17,4,0,0
2019-12-17 11:48:00+01:00,23.14,23.14,23.14,23.14,14,0,0
2019-12-17 12:23:00+01:00,23.09,23.09,23.09,23.09,229,0,0
2019-12-17 12:25:00+01:00,23.13,23.13,23.13,23.13,1481,0,0
2019-12-17 12:28:00+01:00,23.1,23.1,23.1,23.1,20,0,0
2019-12-17 13:25:00+01:00,23.14,23.14,23.14,23.14,36,0,0
2019-12-17 14:28:00+01:00,23.11,23.11,23.11,23.11,746,0,0
2019-12-17 15:13:00+01:00,23.15,23.15,23.15,23.15,23,0,0
2019-12-18 09:18:00+01:00,23.18,23.18,23.18,23.18,0,0,0
2019-12-18 09:56:00+01:00,23.2,23.2,23.2,23.2,613,0,0
2019-12-18 10:33:00+01:00,23.2,23.2,23.2,23.2,2,0,0
2019-12-18 10:43:00+01:00,23.2,23.2,23.2,23.2,108,0,0
2019-12-18 11:43:00+01:00,23.18,23.18,23.18,23.18,84,0,0
2019-12-18 12:35:00+01:00,23.19,23.19,23.19,23.19,139,0,0
2019-12-18 12:36:00+01:00,23.22,23.22,23.22,23.22,2391,0,0
2019-12-18 12:40:00+01:00,23.22,23.22,23.22,23.22,166,0,0
2019-12-18 13:15:00+01:00,23.18,23.18,23.18,23.18,111,0,0
2019-12-18 13:50:00+01:00,23.22,23.22,23.22,23.22,108,0,0
2019-12-18 14:38:00+01:00,23.24,23.24,23.24,23.24,13,0,0
2019-12-18 15:23:00+01:00,23.25,23.25,23.25,23.25,6,0,0
2019-12-18 16:19:00+01:00,23.23,23.23,23.23,23.23,10,0,0
2019-12-18 17:20:00+01:00,23.22,23.23,23.22,23.22,145,0,0
2019-12-19 09:18:00+01:00,23.19,23.19,23.19,23.19,0,0,0
2019-12-19 09:28:00+01:00,23.23,23.23,23.23,23.23,1,0,0
2019-12-19 09:54:00+01:00,23.17,23.17,23.17,23.17,40,0,0
2019-12-19 10:33:00+01:00,23.2,23.2,23.2,23.2,307,0,0
2019-12-19 10:38:00+01:00,23.2,23.2,23.2,23.2,448,0,0
2019-12-19 10:42:00+01:00,23.22,23.22,23.22,23.22,1562,0,0
2019-12-19 10:45:00+01:00,23.18,23.18,23.18,23.18,46,0,0
2019-12-19 11:13:00+01:00,23.19,23.19,23.19,23.19,2,0,0
2019-12-19 11:16:00+01:00,23.19,23.19,23.19,23.19,358,0,0
2019-12-19 11:48:00+01:00,23.21,23.21,23.21,23.21,44,0,0
2019-12-19 12:09:00+01:00,23.2,23.2,23.2,23.2,853,0,0
2019-12-19 13:03:00+01:00,23.21,23.21,23.21,23.21,3,0,0
