Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-16 17:18:00+01:00,63.97,63.97,63.97,63.97,0,0,0
2019-12-17 09:04:00+01:00,64.06,64.06,64.06,64.06,0,0,0
2019-12-17 13:12:00+01:00,64.01,64.01,64.01,64.01,0,0,0
2019-12-17 14:47:00+01:00,63.96,63.96,63.96,63.96,50,0,0
2019-12-18 09:04:00+01:00,63.94,63.94,63.94,63.94,0,0,0
2019-12-18 13:12:00+01:00,63.98,63.98,63.98,63.98,0,0,0
2019-12-18 15:39:00+01:00,64.34,64.34,64.34,64.34,193,0,0
2019-12-18 17:19:00+01:00,64.31,64.31,64.31,64.31,45,0,0
2019-12-19 09:04:00+01:00,64.68,64.68,64.68,64.68,0,0,0
2019-12-19 12:05:00+01:00,64.47,64.47,64.47,64.47,24,0,0
2019-12-19 13:12:00+01:00,64.6,64.6,64.6,64.6,0,0,0
2019-12-19 14:31:00+01:00,64.62,64.62,64.62,64.62,96,0,0
2019-12-19 14:32:00+01:00,64.62,64.62,64.62,64.62,28,0,0
2019-12-19 17:20:00+01:00,64.87,64.87,64.87,64.87,145,0,0
2019-12-20 09:04:00+01:00,65.15,65.15,65.15,65.15,0,0,0
2019-12-20 10:49:00+01:00,65.2,65.2,65.2,65.2,139,0,0
2019-12-20 10:50:00+01:00,65.2,65.2,65.2,65.2,1529,0,0
2019-12-20 10:59:00+01:00,65.2,65.2,65.2,65.2,12,0,0
2019-12-20 11:01:00+01:00,65.24,65.24,65.24,65.24,1078,0,0
2019-12-20 11:09:00+01:00,65.24,65.24,65.24,65.24,123,0,0
2019-12-20 11:19:00+01:00,65.32,65.32,65.32,65.32,189,0,0
2019-12-20 13:12:00+01:00,65.26,65.26,65.26,65.26,0,0,0
2019-12-20 15:36:00+01:00,65.39,65.39,65.39,65.39,3071,0,0
2019-12-20 15:45:00+01:00,65.56,65.56,65.56,65.56,188,0,0
2019-12-20 17:20:00+01:00,65.55,65.55,65.55,65.55,400,0,0
2019-12-23 09:04:00+01:00,65.76,65.76,65.76,65.76,0,0,0
2019-12-23 09:44:00+01:00,65.85,65.85,65.85,65.85,6,0,0
2019-12-23 10:08:00+01:00,65.85,65.85,65.85,65.85,2,0,0
2019-12-23 13:12:00+01:00,65.84,65.84,65.84,65.84,0,0,0
2019-12-23 15:36:00+01:00,65.96,65.96,65.96,65.96,15,0,0
2019-12-23 16:45:00+01:00,65.83,65.83,65.83,65.83,117,0,0
2019-12-23 17:14:00+01:00,65.92,65.92,65.92,65.92,0,0,0
2019-12-27 09:04:00+01:00,65.81,65.81,65.81,65.81,0,0,0
2019-12-27 13:12:00+01:00,65.93,65.93,65.93,65.93,0,0,0
2019-12-27 14:05:00+01:00,66.04,66.04,66.04,66.04,20,0,0
2019-12-27 14:42:00+01:00,66.04,66.04,66.04,66.04,80,0,0
2019-12-27 16:16:00+01:00,65.54,65.54,65.54,65.54,618,0,0
2019-12-27 17:02:00+01:00,65.75,65.75,65.75,65.75,2,0,0
2019-12-30 09:04:00+01:00,65.59,65.59,65.59,65.59,0,0,0
2019-12-30 12:01:00+01:00,65.26,65.26,65.26,65.26,60,0,0
2019-12-30 13:12:00+01:00,65.42,65.42,65.42,65.42,0,0,0
2019-12-30 14:06:00+01:00,65.45,65.45,65.45,65.45,0,0,0
2020-01-02 09:04:00+01:00,65.37,65.37,65.37,65.37,0,0,0
2020-01-02 11:40:00+01:00,65.64,65.64,65.64,65.64,7,0,0
2020-01-02 13:12:00+01:00,65.5,65.5,65.5,65.5,0,0,0
2020-01-02 14:13:00+01:00,65.66,65.66,65.66,65.66,92,0,0
2020-01-02 15:36:00+01:00,65.62,65.62,65.62,65.62,18,0,0
2020-01-02 16:31:00+01:00,65.54,65.54,65.54,65.54,15,0,0
2020-01-02 17:14:00+01:00,65.51,65.52,65.51,65.52,263,0,0
2020-01-03 09:04:00+01:00,64.93,65.03,64.93,65.03,0,0,0
2020-01-03 09:07:00+01:00,65.01,65.01,65.01,65.01,517,0,0
2020-01-03 09:09:00+01:00,65.05,65.05,65.05,65.05,983,0,0
2020-01-03 09:10:00+01:00,65.05,65.05,65.05,65.05,2581,0,0
2020-01-03 09:13:00+01:00,65.03,65.03,65.03,65.03,545,0,0
2020-01-03 13:12:00+01:00,65.17,65.17,65.17,65.17,0,0,0
2020-01-06 09:04:00+01:00,65.17,65.17,65.17,65.17,0,0,0
2020-01-06 13:12:00+01:00,64.95,64.95,64.95,64.95,0,0,0
2020-01-06 16:59:00+01:00,65.31,65.31,65.31,65.31,0,0,0
