Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-17 14:53:00-05:00,25.87,25.87,25.87,25.87,0.0,0.0,0
2019-12-18 14:16:00-05:00,25.88,25.88,25.88,25.88,535.0,0.0,0
2019-12-19 09:30:00-05:00,25.76,25.76,25.76,25.76,745.0,0.0,0
2019-12-20 10:45:00-05:00,26.07,26.07,26.07,26.07,0.0,0.0,0
2019-12-20 12:33:00-05:00,26.11,26.11,26.11,26.11,100.0,0.0,0
2019-12-23 09:30:00-05:00,26.1,26.1,26.1,26.1,367.0,0.0,0
2019-12-23 15:50:00-05:00,26.09,26.09,26.09,26.09,0.0,0.0,0
2019-12-27 09:30:00-05:00,25.92,25.92,25.92,25.92,0.0,0.14,0
2019-12-27 14:07:00-05:00,25.94,25.94,25.94,25.94,200.0,0.0,0
2019-12-27 09:30:00-05:00,,,,,,0.14,0
2019-12-27 14:07:00-05:00,25.94,25.94,25.94,25.94,200.0,0.0,0
2019-12-30 14:52:00-05:00,25.84,25.84,25.84,25.84,338.0,0.0,0
2019-12-31 15:51:00-05:00,25.89,25.89,25.89,25.89,0.0,0.0,0
2020-01-02 09:30:00-05:00,26.0,26.0,26.0,26.0,434.0,0.0,0
2020-01-02 11:28:00-05:00,25.87,25.87,25.85,25.85,916.0,0.0,0
2020-01-02 15:34:00-05:00,25.87,25.87,25.87,25.87,225.0,0.0,0
2020-01-02 15:50:00-05:00,25.87,25.87,25.87,25.87,64.0,0.0,0
2020-01-02 11:28:00-05:00,25.87,25.87,25.85,25.85,0.0,0.0,0
2020-01-02 15:34:00-05:00,25.87,25.87,25.87,25.87,225.0,0.0,0
2020-01-02 15:50:00-05:00,25.87,25.87,25.87,25.87,64.0,0.0,0
2020-01-03 14:37:00-05:00,25.75,25.75,25.75,25.75,0.0,0.0,0
2020-01-06 14:09:00-05:00,25.74,25.74,25.74,25.74,100.0,0.0,0
2020-01-07 09:30:00-05:00,25.66,25.66,25.66,25.66,0.0,0.0,0
2020-01-07 11:31:00-05:00,25.77,25.77,25.77,25.77,184.0,0.0,0
2020-01-07 14:39:00-05:00,25.75,25.75,25.75,25.75,100.0,0.0,0
2020-01-08 09:30:00-05:00,25.65,25.65,25.65,25.65,616.0,0.0,0
2020-01-08 09:32:00-05:00,25.8,25.8,25.8,25.8,250.0,0.0,0
2020-01-08 15:15:00-05:00,25.9,25.9,25.9,25.9,100.0,0.0,0
2020-01-08 15:35:00-05:00,25.89,25.89,25.89,25.89,100.0,0.0,0
2020-01-08 15:47:00-05:00,25.86,25.86,25.86,25.86,100.0,0.0,0
2020-01-09 09:30:00-05:00,25.8,25.8,25.8,25.8,0.0,0.0,0
2020-01-09 09:31:00-05:00,25.83,25.83,25.83,25.83,100.0,0.0,0
2020-01-09 09:34:00-05:00,25.83,25.83,25.83,25.83,400.0,0.0,0
2020-01-09 10:15:00-05:00,25.82,25.82,25.82,25.82,500.0,0.0,0
